H AGB yields: F.R.U.I.T.Y., Cristallo et al. (2015)
H CC SNe yields: Limongi & Chieffi (2018), Model R, V_rot = mix as in Prantzos et al. (2018)
H Data prepared by: Benoit Cote
H Data prepared date: 2020-04-27
H Isotopes: H-1, H-2, He-3, He-4, Li-6, Li-7, Be-9, B-10, B-11, C-12, C-13, N-14, N-15, O-16, O-17, O-18, F-19, Ne-20, Ne-21, Ne-22, Na-23, Mg-24, Mg-25, Mg-26, Al-27, Si-28, Si-29, Si-30, P-31, S-32, S-33, S-34, S-36, Cl-35, Cl-37, Ar-36, Ar-38, Ar-40, K-39, K-40, K-41, Ca-40, Ca-42, Ca-43, Ca-44, Ca-46, Ca-48, Sc-45, Ti-46, Ti-47, Ti-48, Ti-49, Ti-50, V-50, V-51, Cr-50, Cr-52, Cr-53, Cr-54, Mn-55, Fe-54, Fe-56, Fe-57, Fe-58, Co-59, Ni-58, Ni-60, Ni-61, Ni-62, Ni-64, Cu-63, Cu-65, Zn-64, Zn-66, Zn-67, Zn-68, Zn-70, Ga-69, Ga-71, Ge-70, Ge-72, Ge-73, Ge-74, Ge-76, As-75, Se-74, Se-76, Se-77, Se-78, Se-80, Se-82, Br-79, Br-81, Kr-78, Kr-80, Kr-82, Kr-83, Kr-84, Kr-86, Rb-85, Rb-87, Sr-84, Sr-86, Sr-87, Sr-88, Y-89, Zr-90, Zr-91, Zr-92, Zr-94, Zr-96, Nb-93, Mo-100, Mo-92, Mo-94, Mo-95, Mo-96, Mo-97, Mo-98, Ru-100, Ru-101, Ru-102, Ru-104, Ru-96, Ru-98, Ru-99, Rh-103, Pd-104, Pd-105, Pd-106, Pd-108, Pd-110, Ag-107, Ag-109, Cd-108, Cd-110, Cd-111, Cd-112, Cd-113, Cd-114, Cd-116, In-113, In-115, Sn-114, Sn-115, Sn-116, Sn-117, Sn-118, Sn-119, Sn-120, Sn-122, Sn-124, Sb-121, Sb-123, Te-122, Te-123, Te-124, Te-125, Te-126, Te-128, Te-130, I-127, Xe-128, Xe-129, Xe-130, Xe-131, Xe-132, Xe-134, Xe-136, Cs-133, Ba-134, Ba-135, Ba-136, Ba-137, Ba-138, La-138, La-139, Ce-140, Ce-142, Pr-141, Nd-142, Nd-143, Nd-144, Nd-145, Nd-146, Nd-148, Nd-150, Sm-144, Sm-147, Sm-148, Sm-149, Sm-150, Sm-152, Sm-154, Eu-151, Eu-153, Gd-152, Gd-154, Gd-155, Gd-156, Gd-157, Gd-158, Gd-160, Tb-159, Dy-160, Dy-161, Dy-162, Dy-163, Dy-164, Ho-165, Er-164, Er-166, Er-167, Er-168, Er-170, Tm-169, Yb-170, Yb-171, Yb-172, Yb-173, Yb-174, Yb-176, Lu-175, Lu-176, Hf-176, Hf-177, Hf-178, Hf-179, Hf-180, Ta-180, Ta-181, W-180, W-182, W-183, W-184, W-186, Re-185, Re-187, Os-186, Os-187, Os-188, Os-189, Os-190, Os-192, Ir-191, Ir-193, Pt-192, Pt-194, Pt-195, Pt-196, Pt-198, Au-197, Hg-198, Hg-199, Hg-200, Hg-201, Hg-202, Hg-204, Tl-203, Tl-205, Pb-204, Pb-206, Pb-207, Pb-208, Bi-209
H Table: (M=1.3,Z=0.02)
H Lifetime: 4.760e+09
H Mfinal: 6.133e-01
&Isotopes &Yields     &X0         &Z &A
&H-1      &4.718e-01  &0.000e+00  &1  &1
&H-2      &1.000e-30  &0.000e+00  &1  &2
&He-3     &1.000e-30  &0.000e+00  &2  &3
&He-4     &2.011e-01  &0.000e+00  &2  &4
&Li-6     &1.000e-30  &0.000e+00  &3  &6
&Li-7     &1.000e-30  &0.000e+00  &3  &7
&Be-9     &1.000e-30  &0.000e+00  &4  &9
